[22/08/2015 14:29:18] /m shiny tentacruel
[22/08/2015 14:29:34] /m Shiny Grimer
[22/08/2015 14:30:12] /m Shiny Voltorb
[22/08/2015 14:30:42] /m shiny electrode
[22/08/2015 14:31:16] /m Shiny Krabby
[22/08/2015 14:31:44] /m shiny krabby
[22/08/2015 14:35:14] /m shiny magikarp
[22/08/2015 14:36:57] /m /m shiny rattata
[22/08/2015 14:37:03] /m shiny Rattata
[22/08/2015 14:37:33] /m shiny zubat
[22/08/2015 14:37:37] /m shiny oddish
[22/08/2015 14:38:29] /m shiny growlithe
[22/08/2015 14:39:03] /m shiny paras
[22/08/2015 14:39:06] /m shiny dratini
[22/08/2015 14:40:26] /m shiny arcanine
[22/08/2015 14:40:30] /m shiny muk
[22/08/2015 14:41:38] /m shiny grimer
[22/08/2015 14:41:46] /clean
[22/08/2015 14:42:08] /m shiny parasect
[22/08/2015 14:42:50] /m Shiny Jynx
[22/08/2015 14:43:43] /m shiny seadra
[22/08/2015 14:43:44] /m Shiny Venonat
[22/08/2015 14:44:42] /m Shiny Venomoth
[22/08/2015 14:45:10] /m venomoth
[22/08/2015 14:45:59] /m Shiny Butterfree
[22/08/2015 14:46:54] /m Shiny Blastoise
[22/08/2015 14:47:28] /m shiny venusaur
[22/08/2015 14:48:09] /m Shiny Raticate
[22/08/2015 14:48:15] /m shiny beedrill
[22/08/2015 14:49:01] /m shiny horsea
[22/08/2015 14:49:02] /m Shiny Kingler
[22/08/2015 14:49:50] /m Shiny Raichu
[22/08/2015 14:50:31] /m dark abra
[22/08/2015 14:50:57] /m shiny scyther
[22/08/2015 14:51:30] /m Shiny Electabuzz
[22/08/2015 14:51:58] /m Red gyarados
[22/08/2015 14:53:41] /m dark alakazam
[22/08/2015 14:54:19] /r
[22/08/2015 14:54:52] /m crystal onix
[22/08/2015 14:55:32] /m elder charizard
[22/08/2015 14:58:23] /i 124
[22/08/2015 14:59:38] /i 131
[22/08/2015 15:00:12] /i 131
[22/08/2015 15:02:45] /i 132
[22/08/2015 15:03:39] /i 137
[22/08/2015 15:04:16] /i 138
[22/08/2015 15:05:49] /i 141
[22/08/2015 15:06:37] /i 144
[22/08/2015 15:07:40] /i 144
[22/08/2015 15:08:27] /i 8755
[22/08/2015 15:09:08] /i 126
[22/08/2015 15:09:19] /i 8755
[22/08/2015 15:10:12] /i 6039
[22/08/2015 15:10:21] /i 126
[22/08/2015 15:11:48] /i 8747
[22/08/2015 15:11:59] /i 121
[22/08/2015 15:12:01] /i 121
[22/08/2015 15:20:03] /m Shiny voltorb
[22/08/2015 15:20:08] /m shiny electrode
[22/08/2015 15:21:24] /i 124
[22/08/2015 15:21:42] /i 125
[22/08/2015 15:22:37] /m shiny voltorb
[22/08/2015 15:22:55] /m shiny electrode
[22/08/2015 15:23:32] /i 125
[22/08/2015 15:23:35] /i 124
[22/08/2015 15:23:59] /i 125
[22/08/2015 15:25:11] /m shiny voltorb
